Winery,Country,Province,Mean_Price,Mean_Points,Wines,Variety_Count
Paloma,US,California,51.0,94.0,1,1
Shadowbox,US,California,51.0,85.5,4,4
Dehlinger,US,California,51.0,93.0,9,4
Emineo,South Africa,Durbanville,51.0,88.33333333333333,3,2
A.S. Kiken,US,California,51.0,84.5,4,2
Argot,US,California,51.0,88.6,5,2
Michael James Wines,US,California,51.0,89.25,4,2
MacPhail,US,California,51.04545454545455,90.5,88,3
Brunelli,Italy,Veneto,51.05882352941177,90.2,25,3
Sequum,US,California,51.0625,90.8125,16,4
Devaux,France,Champagne,51.111111111111114,89.66666666666667,9,2
Cascina delle Rose,Italy,Piedmont,51.142857142857146,91.07142857142857,14,2
Talisman,US,California,51.16216216216216,89.86486486486487,37,1
Montecariano,Italy,Veneto,51.166666666666664,89.33333333333333,12,2
W.H. Smith,US,California,51.166666666666664,91.5,36,3
Scott Paul,US,Oregon,51.19047619047619,91.80952380952381,21,1
Liebart-Régnier,France,Champagne,51.2,88.8,10,2
Mauro Molino,Italy,Piedmont,51.2,87.71428571428571,7,2
Resalte,Spain,Northern Spain,51.2,88.85,20,2
Felton Road,New Zealand,Central Otago,51.21739130434783,90.63829787234043,47,3
Mission Hill,Canada,British Columbia,51.23076923076923,90.0,14,7
Michel Gros,France,Burgundy,51.25,89.75,4,1
